[13:06:12] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:06:12] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:06:12] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:06:13] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:08:11] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:08:12] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:08:16] INFO | main_api.py | setup_reload_mode_logging | 🚀 预计热重载模式: WatchFilesReload
[13:08:16] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[13:08:16] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:08:16] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:08:16] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:08:17] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:09:39] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:09:44] INFO | main_api.py | <module> | 🚀 预计热重载模式: WatchFilesReload
[13:09:44] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[13:09:44] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:09:44] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:09:44] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:09:45] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:09:45] INFO | main_api.py | lifespan | 🚀 当前热重载模式: 未知
[13:10:46] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:10:47] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:10:47] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:11:01] INFO | main_api.py | <module> | 🚀 预计热重载模式: WatchFilesReload
[13:11:01] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[13:11:01] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:11:01] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:11:01] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:11:02] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:11:02] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:11:56] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=M9C&distance=250&entitySelectingHelper.selectedEntity=m112&sortType=AGE_IN_DAYS&sortDir=ASC#listing=419622298/NONE/DEFAULT
[13:11:58] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=419622298 full_key=tesla_model 3_standard_range_plus_rwd_electric year=2021 (cohort_size=385)
[13:11:58] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 高价值配置：前排座椅加热，导航系统；关键安全配置：防抱死制动，倒车影像，盲点监测，侧气帘
